Sample,A0,A1,A2
227,556.0,315.0,205.0
228,557.0,320.0,209.0
229,556.0,322.0,210.0
230,553.0,320.0,209.0
231,550.0,315.0,209.0
232,542.0,312.0,205.0
233,534.0,315.0,201.0
234,535.0,317.0,198.0
235,540.0,317.0,198.0
236,544.0,317.0,200.0
237,549.0,316.0,203.0
238,552.0,314.0,206.0
239,552.0,312.0,209.0
240,545.0,309.0,208.0
241,547.0,304.0,204.0
242,551.0,305.0,203.0
243,555.0,311.0,205.0
244,558.0,318.0,207.0
245,557.0,323.0,210.0
246,555.0,323.0,211.0
247,552.0,319.0,210.0
248,549.0,314.0,208.0
249,538.0,314.0,205.0
250,533.0,317.0,201.0
251,536.0,318.0,199.0
252,541.0,319.0,199.0
253,545.0,318.0,201.0
254,550.0,317.0,205.0
255,552.0,315.0,207.0
256,551.0,312.0,208.0
257,544.0,308.0,205.0
258,549.0,306.0,203.0
259,553.0,308.0,202.0
260,556.0,315.0,205.0
261,557.0,320.0,208.0
262,556.0,324.0,210.0
263,554.0,324.0,211.0
264,551.0,318.0,210.0
265,545.0,314.0,207.0
266,536.0,316.0,203.0
267,533.0,318.0,200.0
268,538.0,319.0,199.0
269,543.0,319.0,200.0
270,547.0,319.0,204.0
271,550.0,317.0,207.0
272,552.0,315.0,209.0
273,548.0,312.0,210.0
274,546.0,306.0,206.0
275,549.0,306.0,204.0
276,554.0,310.0,204.0
277,557.0,317.0,207.0
278,557.0,322.0,209.0
279,555.0,323.0,211.0
280,553.0,321.0,211.0
281,549.0,316.0,209.0
282,541.0,314.0,206.0
283,533.0,317.0,201.0
284,535.0,318.0,200.0
285,539.0,319.0,199.0
286,544.0,318.0,200.0
287,549.0,318.0,203.0
288,552.0,317.0,207.0
289,552.0,313.0,207.0
290,545.0,310.0,206.0
291,547.0,306.0,204.0
292,552.0,307.0,202.0
293,555.0,312.0,204.0
294,557.0,318.0,207.0
295,557.0,323.0,209.0
296,555.0,324.0,211.0
297,552.0,320.0,211.0
298,548.0,314.0,209.0
299,537.0,315.0,206.0
300,532.0,317.0,202.0
301,536.0,318.0,200.0
302,541.0,319.0,201.0
303,546.0,318.0,202.0
304,550.0,316.0,206.0
305,552.0,314.0,209.0
306,551.0,311.0,209.0
307,544.0,308.0,207.0
308,548.0,305.0,204.0
309,553.0,308.0,205.0
310,556.0,315.0,208.0
311,557.0,320.0,210.0
312,557.0,324.0,213.0
313,554.0,323.0,214.0
314,550.0,317.0,212.0
315,544.0,313.0,209.0
316,534.0,316.0,204.0
317,534.0,318.0,201.0
318,538.0,319.0,200.0
319,542.0,318.0,201.0
320,548.0,318.0,205.0
321,551.0,316.0,206.0
322,553.0,314.0,207.0
323,547.0,311.0,207.0
324,545.0,306.0,203.0
325,550.0,305.0,202.0
326,554.0,311.0,203.0
327,557.0,317.0,205.0
328,556.0,322.0,209.0
329,555.0,324.0,210.0
330,552.0,321.0,210.0
331,549.0,316.0,207.0
332,540.0,314.0,205.0
333,534.0,317.0,200.0
334,535.0,319.0,198.0
335,539.0,319.0,198.0
336,544.0,320.0,200.0
337,548.0,318.0,203.0
338,551.0,317.0,207.0
339,552.0,314.0,209.0
340,545.0,310.0,208.0
341,547.0,305.0,204.0
342,551.0,307.0,203.0
343,556.0,313.0,205.0
344,556.0,320.0,208.0
345,557.0,323.0,211.0
346,554.0,324.0,212.0
347,551.0,320.0,212.0
348,547.0,314.0,209.0
349,536.0,315.0,205.0
350,532.0,318.0,201.0
351,536.0,319.0,200.0
352,541.0,318.0,201.0
353,545.0,319.0,203.0
354,549.0,317.0,207.0
355,551.0,315.0,210.0
356,551.0,312.0,212.0
357,544.0,308.0,210.0
358,548.0,305.0,207.0
359,553.0,308.0,207.0
360,556.0,314.0,209.0
361,556.0,321.0,212.0
362,555.0,323.0,214.0
363,554.0,322.0,214.0
364,550.0,316.0,213.0
365,543.0,313.0,210.0
366,534.0,315.0,206.0
367,533.0,317.0,203.0
368,538.0,318.0,201.0
369,542.0,318.0,202.0
370,547.0,317.0,205.0
371,551.0,315.0,206.0
372,552.0,313.0,209.0
373,546.0,309.0,210.0
374,545.0,304.0,207.0
375,550.0,304.0,205.0
376,554.0,309.0,206.0
377,556.0,316.0,209.0
378,557.0,321.0,212.0
379,556.0,323.0,213.0
380,552.0,320.0,213.0
381,548.0,314.0,212.0
382,539.0,312.0,209.0
383,532.0,315.0,203.0
384,535.0,317.0,202.0
